month,daily_volume,token_monthly_cost,infra_monthly_cost,total_monthly_cost
0,50000,24240.0,280.0,24520.0
1,51500,24967.2,280.0,25247.2
2,53045,25716.216,280.0,25996.216
3,54636,26487.70248,280.0,26767.70248
4,56275,27282.333554400004,280.0,27562.333554400004
5,57963,28100.803561032,280.0,28380.803561032
6,59702,28943.827667862963,280.0,29223.827667862963
7,61493,29812.142497898854,280.0,30092.142497898854
8,63338,30706.506772835823,280.0,30986.506772835823
9,65238,31627.701976020897,280.0,31907.701976020897
10,67195,32576.533035301523,280.0,32856.53303530152
11,69211,33553.82902636057,280.0,33833.82902636057
