step_id,step_name,failure_type,risk_level,rationale,mitigation
ai_enrichment,AI enrichment scoring,cascading_failure,medium,Failure propagates to 2 downstream steps,Add output validation at this step; define a fallback branch for failure cases
ai_enrichment,AI enrichment scoring,context_degradation,low,Short workflow; context degradation risk is minimal,Standard context monitoring is sufficient
ai_enrichment,AI enrichment scoring,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
ai_enrichment,AI enrichment scoring,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
ai_enrichment,AI enrichment scoring,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
ai_enrichment,AI enrichment scoring,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
crm_read,Read CRM contacts,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
enrich_and_update,Update CRM with enriched data,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
enrich_and_update,Update CRM with enriched data,metadata_inconsistency,high,Description contains write/mutation keywords but step type is data_lookup — possible hidden write that bypasses risk controls,Audit step implementation; reclassify as ai_action if state-mutating; add write-confirmation logging and rollback capability
enrich_and_update,Update CRM with enriched data,silent_failure,high,High-sensitivity data source may return valid-looking empty or stale data with no error signal,Add non-empty validation gate; alert on unexpectedly low record counts vs. baseline
firmographic_lookup,Firmographic data lookup,cascading_failure,medium,Failure propagates to 3 downstream steps,Add output validation at this step; define a fallback branch for failure cases
firmographic_lookup,Firmographic data lookup,tool_selection_error,low,Step has 1 tool — minimal selection ambiguity,Verify the single tool is invoked with correct parameters via parameter schema validation
