step_id,step_name,checkpoint_type,priority,rationale,implementation_detail,estimated_daily_reviews
generate_pricing,Generate pricing proposal from live Salesforce data,pre-flight review,required,High blast radius with irreversible action requires human pre-approval,Human must approve before step executes; add approval queue with SLA target,1
write_crm,Write enrichment + scoring data back to Salesforce,pre-flight review,required,High blast radius with irreversible action requires human pre-approval,Human must approve before step executes; add approval queue with SLA target,1
write_crm,Write enrichment + scoring data back to Salesforce,post-action verification,required,Cross-workflow dependency with irreversible write on sensitive data; errors propagate silently to downstream systems,Add post-write verification query to confirm record integrity before downstream workflows consume the data,0
generate_deck,Generate personalized micro-SaaS sales deck,sampling audit,recommended,Customer-facing output with low verifiability needs regular human sampling,Review 5-10% sample of outputs daily; flag anomalies for full review,0
generate_pricing,Generate pricing proposal from live Salesforce data,sampling audit,recommended,Customer-facing output with low verifiability needs regular human sampling,Review 5-10% sample of outputs daily; flag anomalies for full review,0
notify_rep,Send Slack notification to assigned rep,sampling audit,recommended,Customer-facing output with low verifiability needs regular human sampling,Review 5-10% sample of outputs daily; flag anomalies for full review,0
notify_rep,Send Slack notification to assigned rep,post-action verification,recommended,Irreversible customer-facing output should be verified post-action,Review flagged interactions within 1 hour; prioritize by sentiment score,0
enrich_firmographic,Enrich with firmographic data,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
generate_deck,Generate personalized micro-SaaS sales deck,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
generate_pricing,Generate pricing proposal from live Salesforce data,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
log_pipeline_event,Log pipeline event to analytics,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
notify_rep,Send Slack notification to assigned rep,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
route_to_rep,Route qualified lead to sales rep,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
write_crm,Write enrichment + scoring data back to Salesforce,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
