step_id,step_name,failure_type,risk_level,rationale,mitigation
capacity_check,Check sales team capacity before routing,cascading_failure,medium,Failure cascades to 4 downstream steps; documented graceful degradation limits blast radius,Verify fallback path is tested and monitored; track fallback activation rate
enrich_firmographic,Enrich with firmographic data,cascading_failure,medium,Failure cascades to 8 downstream steps; documented graceful degradation limits blast radius,Verify fallback path is tested and monitored; track fallback activation rate
enrich_firmographic,Enrich with firmographic data,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
enrich_firmographic,Enrich with firmographic data,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
enrich_firmographic,Enrich with firmographic data,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
enrich_firmographic,Enrich with firmographic data,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
enrich_firmographic,Enrich with firmographic data,tool_selection_error,high,Step has 3 tools available — high risk of selecting wrong tool,Add tool-call logging; implement expected-tool assertions; consider restricting available tools per intent
enrich_usage,Pull product usage data from Snowflake,cascading_failure,high,Failure cascades to 8 downstream steps,Add per-step validation gate; implement circuit breaker pattern
enrich_usage,Pull product usage data from Snowflake,silent_failure,high,High-sensitivity data source may return valid-looking empty or stale data with no error signal,Add non-empty validation gate; alert on unexpectedly low record counts vs. baseline
generate_deck,Generate personalized micro-SaaS sales deck,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
generate_deck,Generate personalized micro-SaaS sales deck,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
generate_deck,Generate personalized micro-SaaS sales deck,silent_failure,high,Customer-facing generated content may be plausible but functionally incorrect,Implement functional correctness evals (not just semantic); add sampling audit for human review
generate_deck,Generate personalized micro-SaaS sales deck,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
generate_deck,Generate personalized micro-SaaS sales deck,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
generate_deck,Generate personalized micro-SaaS sales deck,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
generate_pricing,Generate pricing proposal from live Salesforce data,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
generate_pricing,Generate pricing proposal from live Salesforce data,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
generate_pricing,Generate pricing proposal from live Salesforce data,silent_failure,high,Customer-facing generated content may be plausible but functionally incorrect,Implement functional correctness evals (not just semantic); add sampling audit for human review
generate_pricing,Generate pricing proposal from live Salesforce data,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
generate_pricing,Generate pricing proposal from live Salesforce data,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
generate_pricing,Generate pricing proposal from live Salesforce data,tool_selection_error,low,Step has 1 tool — minimal selection ambiguity,Verify the single tool is invoked with correct parameters via parameter schema validation
identify_accounts,Identify expansion-ready freemium accounts,cascading_failure,high,Failure cascades to 10 downstream steps,Add per-step validation gate; implement circuit breaker pattern
log_pipeline_event,Log pipeline event to analytics,metadata_inconsistency,high,Description contains write/mutation keywords but step type is data_lookup — possible hidden write that bypasses risk controls,Audit step implementation; reclassify as ai_action if state-mutating; add write-confirmation logging and rollback capability
notify_rep,Send Slack notification to assigned rep,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
notify_rep,Send Slack notification to assigned rep,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
notify_rep,Send Slack notification to assigned rep,silent_failure,high,Customer-facing generated content may be plausible but functionally incorrect,Implement functional correctness evals (not just semantic); add sampling audit for human review
notify_rep,Send Slack notification to assigned rep,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
notify_rep,Send Slack notification to assigned rep,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
notify_rep,Send Slack notification to assigned rep,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
route_to_rep,Route qualified lead to sales rep,cascading_failure,medium,Failure propagates to 3 downstream steps,Add output validation at this step; define a fallback branch for failure cases
route_to_rep,Route qualified lead to sales rep,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
route_to_rep,Route qualified lead to sales rep,metadata_inconsistency,medium,Step is marked reversible=true but description contains write/mutation keywords — reversibility claim may be incorrect,Verify that a genuine rollback path exists; add automated rollback test; set reversible=false if rollback is not implemented
route_to_rep,Route qualified lead to sales rep,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
route_to_rep,Route qualified lead to sales rep,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
route_to_rep,Route qualified lead to sales rep,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
route_to_rep,Route qualified lead to sales rep,tool_selection_error,medium,Step has 2 tools — moderate tool selection risk,Log tool-call decisions; include explicit selection criteria in system prompt
score_propensity,Score expansion propensity,cascading_failure,high,Failure cascades to 7 downstream steps,Add per-step validation gate; implement circuit breaker pattern
score_propensity,Score expansion propensity,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
score_propensity,Score expansion propensity,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
score_propensity,Score expansion propensity,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
write_crm,Write enrichment + scoring data back to Salesforce,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
write_crm,Write enrichment + scoring data back to Salesforce,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
write_crm,Write enrichment + scoring data back to Salesforce,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
write_crm,Write enrichment + scoring data back to Salesforce,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
write_crm,Write enrichment + scoring data back to Salesforce,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
write_crm,Write enrichment + scoring data back to Salesforce,tool_selection_error,low,Step has 1 tool — minimal selection ambiguity,Verify the single tool is invoked with correct parameters via parameter schema validation
