month,daily_volume,token_monthly_cost,infra_monthly_cost,total_monthly_cost
0,500,616.8,0.0,616.8
1,550,678.48,0.0,678.48
2,605,746.3280000000001,0.0,746.3280000000001
3,665,820.9608000000002,0.0,820.9608000000002
4,732,903.0568800000002,0.0,903.0568800000002
5,805,993.3625680000002,0.0,993.3625680000002
6,885,1092.6988248000005,0.0,1092.6988248000005
7,974,1201.9687072800007,0.0,1201.9687072800007
8,1071,1322.165578008001,0.0,1322.165578008001
9,1178,1454.382135808801,0.0,1454.382135808801
10,1296,1599.8203493896813,0.0,1599.8203493896813
11,1426,1759.8023843286494,0.0,1759.8023843286494
