month,daily_volume,token_monthly_cost,infra_monthly_cost,total_monthly_cost
0,200,37.92,70.0,107.92
1,210,39.816,70.0,109.816
2,220,41.8068,70.0,111.80680000000001
3,231,43.89714000000001,70.0,113.89714000000001
4,243,46.09199700000001,70.0,116.09199700000002
5,255,48.396596850000016,70.0,118.39659685000001
6,268,50.816426692500016,70.0,120.81642669250002
7,281,53.35724802712502,70.0,123.35724802712502
8,295,56.02511042848127,70.0,126.02511042848127
9,310,58.82636594990534,70.0,128.82636594990532
10,325,61.7676842474006,70.0,131.7676842474006
11,342,64.85606845977064,70.0,134.85606845977065
