month,daily_volume,token_monthly_cost,infra_monthly_cost,total_monthly_cost
0,10,0.912,0.0,0.912
1,10,0.9576000000000001,0.0,0.9576000000000001
2,11,1.0054800000000002,0.0,1.0054800000000002
3,11,1.055754,0.0,1.055754
4,12,1.1085417000000002,0.0,1.1085417000000002
5,12,1.1639687850000004,0.0,1.1639687850000004
6,13,1.2221672242500004,0.0,1.2221672242500004
7,14,1.2832755854625004,0.0,1.2832755854625004
8,14,1.3474393647356255,0.0,1.3474393647356255
9,15,1.4148113329724068,0.0,1.4148113329724068
10,16,1.485551899621027,0.0,1.485551899621027
11,17,1.5598294946020785,0.0,1.5598294946020785
