step_id,step_name,checkpoint_type,priority,rationale,implementation_detail,estimated_daily_reviews
deliver_response,Deliver response to customer,pre-flight review,required,High blast radius with irreversible action requires human pre-approval,Human must approve before step executes; add approval queue with SLA target,100000
format_response,Format and brand response,pre-flight review,required,High blast radius with irreversible action requires human pre-approval,Human must approve before step executes; add approval queue with SLA target,100000
resolve,Execute account resolution,pre-flight review,required,High blast radius with irreversible action requires human pre-approval,Human must approve before step executes; add approval queue with SLA target,100000
respond,Generate customer response,pre-flight review,required,High blast radius with irreversible action requires human pre-approval,Human must approve before step executes; add approval queue with SLA target,100000
escalation_check,Escalation decision,escalation trigger,recommended,Branch point with false negative risk needs confidence threshold gate,Add confidence threshold (suggest 0.8); route below-threshold cases to human review,10000
respond,Generate customer response,sampling audit,recommended,Customer-facing output with low verifiability needs regular human sampling,Review 5-10% sample of outputs daily; flag anomalies for full review,7500
deliver_response,Deliver response to customer,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
format_response,Format and brand response,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
resolve,Execute account resolution,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
respond,Generate customer response,periodic calibration,suggested,Long workflow benefits from periodic specification re-injection,Weekly eval review; monthly spec refresh; compare output drift against baseline,
