step_id,step_name,failure_type,risk_level,rationale,mitigation
step_01,Ingest and normalize input,cascading_failure,high,Failure cascades to 9 downstream steps,Add per-step validation gate; implement circuit breaker pattern
step_01,Ingest and normalize input,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_01,Ingest and normalize input,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
step_01,Ingest and normalize input,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
step_01,Ingest and normalize input,sycophantic_confirmation,low,No upstream classified or looked-up data to blindly confirm,Ensure prompt instructs the model to flag uncertainty rather than assume correctness
step_02,Classify primary intent,cascading_failure,high,Failure cascades to 8 downstream steps,Add per-step validation gate; implement circuit breaker pattern
step_02,Classify primary intent,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_02,Classify primary intent,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
step_03,Extract secondary attributes,cascading_failure,high,Failure cascades to 7 downstream steps,Add per-step validation gate; implement circuit breaker pattern
step_03,Extract secondary attributes,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_03,Extract secondary attributes,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
step_04,Retrieve relevant context,cascading_failure,high,Failure cascades to 6 downstream steps,Add per-step validation gate; implement circuit breaker pattern
step_04,Retrieve relevant context,tool_selection_error,low,Step has 1 tool — minimal selection ambiguity,Verify the single tool is invoked with correct parameters via parameter schema validation
step_05,Score context relevance,cascading_failure,high,Failure cascades to 5 downstream steps,Add per-step validation gate; implement circuit breaker pattern
step_05,Score context relevance,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_05,Score context relevance,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
step_06,Draft initial response,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
step_06,Draft initial response,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
step_06,Draft initial response,silent_failure,medium,Generated content may appear correct but contain factual errors,Add automated factual-consistency checks; route edge-case outputs to human review queue
step_06,Draft initial response,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
step_06,Draft initial response,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
step_07,Fact-check draft,cascading_failure,medium,Failure propagates to 3 downstream steps,Add output validation at this step; define a fallback branch for failure cases
step_07,Fact-check draft,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_07,Fact-check draft,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
step_08,Apply style and tone,cascading_failure,medium,Failure propagates to 2 downstream steps,Add output validation at this step; define a fallback branch for failure cases
step_08,Apply style and tone,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
step_08,Apply style and tone,silent_failure,medium,Generated content may appear correct but contain factual errors,Add automated factual-consistency checks; route edge-case outputs to human review queue
step_08,Apply style and tone,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
step_08,Apply style and tone,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
step_09,Compliance filter,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
step_09,Compliance filter,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_09,Compliance filter,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
step_10,Publish final output,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
step_10,Publish final output,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
step_10,Publish final output,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
step_10,Publish final output,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
