step_id,step_name,failure_type,risk_level,rationale,mitigation
collect_github,Query GitHub API,cascading_failure,medium,Failure cascades to 5 downstream steps; documented graceful degradation limits blast radius,Verify fallback path is tested and monitored; track fallback activation rate
collect_mercury,Query Mercury Banking API,cascading_failure,high,Failure cascades to 5 downstream steps,Add per-step validation gate; implement circuit breaker pattern
collect_mercury,Query Mercury Banking API,silent_failure,high,High-sensitivity data source may return valid-looking empty or stale data with no error signal,Add non-empty validation gate; alert on unexpectedly low record counts vs. baseline
collect_open_brain,Query knowledge base,cascading_failure,high,Failure cascades to 5 downstream steps,Add per-step validation gate; implement circuit breaker pattern
collect_pipeline,Query Pipeline CRM (Supabase),cascading_failure,medium,Failure cascades to 5 downstream steps; documented graceful degradation limits blast radius,Verify fallback path is tested and monitored; track fallback activation rate
collect_zoho_calendar,Query Zoho Calendar API,cascading_failure,medium,Failure cascades to 5 downstream steps; documented graceful degradation limits blast radius,Verify fallback path is tested and monitored; track fallback activation rate
collect_zoho_mail,Query Zoho Mail API,cascading_failure,high,Failure cascades to 5 downstream steps,Add per-step validation gate; implement circuit breaker pattern
collect_zoho_mail,Query Zoho Mail API,silent_failure,high,High-sensitivity data source may return valid-looking empty or stale data with no error signal,Add non-empty validation gate; alert on unexpectedly low record counts vs. baseline
format_brief,Claude API formats decision-ready brief,cascading_failure,medium,Failure propagates to 3 downstream steps,Add output validation at this step; define a fallback branch for failure cases
format_brief,Claude API formats decision-ready brief,context_degradation,high,Long workflow with generation step risks context window saturation,Implement context summarization between steps; re-inject critical context at each generation step
format_brief,Claude API formats decision-ready brief,silent_failure,medium,Generated content may appear correct but contain factual errors,Add automated factual-consistency checks; route edge-case outputs to human review queue
format_brief,Claude API formats decision-ready brief,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
format_brief,Claude API formats decision-ready brief,sycophantic_confirmation,high,Generation step builds on classified/looked-up data — may confirm incorrect upstream data,Cross-reference generated output against raw source data; add validation gate between lookup and generation
format_brief,Claude API formats decision-ready brief,tool_selection_error,low,Step has 1 tool — minimal selection ambiguity,Verify the single tool is invoked with correct parameters via parameter schema validation
parse_reply,Reply handler parses decisions,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
parse_reply,Reply handler parses decisions,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
parse_reply,Reply handler parses decisions,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
parse_reply,Reply handler parses decisions,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
send_email,Send morning brief via Resend,cascading_failure,medium,Failure propagates to 2 downstream steps,Add output validation at this step; define a fallback branch for failure cases
send_email,Send morning brief via Resend,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
send_email,Send morning brief via Resend,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
send_email,Send morning brief via Resend,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
send_email,Send morning brief via Resend,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
write_daily_brief,Write raw payload to knowledge base as daily_brief,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
write_daily_brief,Write raw payload to knowledge base as daily_brief,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
write_daily_brief,Write raw payload to knowledge base as daily_brief,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
write_daily_brief,Write raw payload to knowledge base as daily_brief,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
write_daily_brief,Write raw payload to knowledge base as daily_brief,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
write_decisions,Write decisions back to knowledge base,cascading_failure,medium,Terminal step with cross-workflow dependency — failure corrupts future workflow runs,Add write-confirmation check; monitor downstream workflow input quality
write_decisions,Write decisions back to knowledge base,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
write_decisions,Write decisions back to knowledge base,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
write_decisions,Write decisions back to knowledge base,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
write_decisions,Write decisions back to knowledge base,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
