step_id,step_name,failure_type,risk_level,rationale,mitigation
accounting_write,Write to accounting system,cascading_failure,high,Failure cascades to 7 downstream steps,Add per-step validation gate; implement circuit breaker pattern
accounting_write,Write to accounting system,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
accounting_write,Write to accounting system,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
accounting_write,Write to accounting system,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
accounting_write,Write to accounting system,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
archive_receipt,Archive receipt for audit,cascading_failure,medium,Failure propagates to 2 downstream steps,Add output validation at this step; define a fallback branch for failure cases
archive_receipt,Archive receipt for audit,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
archive_receipt,Archive receipt for audit,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
archive_receipt,Archive receipt for audit,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
archive_receipt,Archive receipt for audit,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
audit_log,Write audit log entry,cascading_failure,low,Failure affects 1 downstream step,Ensure the downstream step handles missing or malformed input gracefully
audit_log,Write audit log entry,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
audit_log,Write audit log entry,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
audit_log,Write audit log entry,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
audit_log,Write audit log entry,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
close_expense_report,Close expense report,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
close_expense_report,Close expense report,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
close_expense_report,Close expense report,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
close_expense_report,Close expense report,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
extract_details,Extract receipt details,cascading_failure,high,Failure cascades to 9 downstream steps,Add per-step validation gate; implement circuit breaker pattern
