step_id,step_name,failure_type,risk_level,rationale,mitigation
classify,Classify intent,cascading_failure,high,Failure cascades to 9 downstream steps,Add per-step validation gate; implement circuit breaker pattern
classify,Classify intent,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
classify,Classify intent,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
classify,Classify intent,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
close_ticket,Close support ticket,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
close_ticket,Close support ticket,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
close_ticket,Close support ticket,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
close_ticket,Close support ticket,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
deliver_response,Deliver response to customer,cascading_failure,medium,Failure propagates to 3 downstream steps,Add output validation at this step; define a fallback branch for failure cases
deliver_response,Deliver response to customer,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
deliver_response,Deliver response to customer,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
deliver_response,Deliver response to customer,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
deliver_response,Deliver response to customer,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
escalation_check,Escalation decision,cascading_failure,high,Failure cascades to 8 downstream steps,Add per-step validation gate; implement circuit breaker pattern
escalation_check,Escalation decision,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
escalation_check,Escalation decision,specification_drift,medium,Step depth or workflow length increases specification drift risk,Re-state task objective in system prompt at this step; add output diff against spec baseline
escalation_check,Escalation decision,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
format_response,Format and brand response,cascading_failure,high,Failure cascades to 4 downstream steps,Add per-step validation gate; implement circuit breaker pattern
format_response,Format and brand response,context_degradation,medium,Multi-step workflow may degrade context quality,Monitor output quality metrics across session length
format_response,Format and brand response,silent_failure,medium,Action may complete successfully but with incorrect parameters,Log all action parameters with expected vs. actual diff; add post-action state validation
format_response,Format and brand response,specification_drift,high,Late-stage step in long workflow prone to forgetting original specification,Periodic spec re-injection; compare outputs against original requirements at this checkpoint
format_response,Format and brand response,sycophantic_confirmation,medium,Action step builds on classified/looked-up data — may propagate upstream errors without challenge,Assert expected data shape before executing action; log action parameters for post-hoc review
format_response,Format and brand response,tool_selection_error,low,AI step has no tool constraints — output format entirely model-guided,"Define explicit output schema (Pydantic, JSON Schema) and validate against it"
