month,daily_volume,token_monthly_cost,infra_monthly_cost,total_monthly_cost
0,100000,65160.0,1950.0,67110.0
1,108000,70372.8,1950.0,72322.8
2,116640,76002.62400000001,1950.0,77952.62400000001
3,125971,82082.83392,1950.0,84032.83392
4,136048,88649.46063360001,1950.0,90599.46063360001
5,146932,95741.41748428803,1950.0,97691.41748428803
6,158687,103400.73088303108,1950.0,105350.73088303108
7,171382,111672.78935367358,1950.0,113622.78935367358
8,185093,120606.61250196747,1950.0,122556.61250196747
9,199900,130255.14150212487,1950.0,132205.14150212487
10,215892,140675.55282229488,1950.0,142625.55282229488
11,233163,151929.59704807846,1950.0,153879.59704807846
