month,daily_volume,token_monthly_cost,infra_monthly_cost,total_monthly_cost
0,1,88.86,1400.0,1488.86
1,1,102.189,1400.0,1502.189
2,1,117.51734999999998,1400.0,1517.51735
3,1,135.1449525,1400.0,1535.1449525
4,1,155.41669537499996,1400.0,1555.416695375
5,2,178.72919968124995,1400.0,1578.72919968125
6,2,205.53857963343742,1400.0,1605.5385796334374
7,2,236.369366578453,1400.0,1636.369366578453
8,3,271.82477156522094,1400.0,1671.824771565221
9,3,312.598487300004,1400.0,1712.598487300004
10,4,359.4882603950046,1400.0,1759.4882603950045
11,4,413.41149945425525,1400.0,1813.4114994542551
